iter	Passed	Remaining
0	153	76390
1	155	38792
2	158	26271
3	161	20018
4	164	16253
5	166	13741
6	169	11937
7	172	10586
8	174	9531
9	176	8660
10	179	7958
11	181	7361
12	183	6858
13	185	6425
14	187	6048
15	189	5720
16	191	5430
17	193	5171
18	195	4940
19	197	4730
20	199	4539
21	201	4367
22	202	4209
23	205	4067
24	206	3920
25	208	3801
26	210	3689
27	212	3584
28	214	3487
29	216	3396
30	218	3310
31	220	3230
32	222	3154
33	225	3085
34	227	3018
35	229	2954
36	231	2895
37	233	2837
38	235	2786
39	237	2734
40	239	2684
41	241	2637
42	243	2592
43	245	2548
44	247	2507
45	250	2471
46	252	2434
47	254	2399
48	256	2365
49	259	2331
50	261	2298
51	263	2268
52	265	2240
53	267	2212
54	270	2185
55	272	2157
56	274	2131
57	276	2106
58	278	2081
59	280	2058
60	282	2034
61	284	2011
62	286	1989
63	288	1968
64	291	1948
65	293	1928
66	295	1908
67	297	1889
68	299	1871
69	301	1852
70	303	1834
71	305	1817
72	307	1800
73	309	1784
74	312	1769
75	314	1752
76	316	1737
77	317	1719
78	319	1704
79	321	1689
80	323	1675
81	326	1662
82	328	1649
83	330	1636
84	332	1623
85	334	1611
86	336	1598
87	338	1586
88	341	1574
89	342	1562
90	345	1550
91	347	1539
92	349	1527
93	351	1516
94	353	1505
95	355	1495
96	356	1482
97	358	1472
98	360	1461
99	363	1452
100	365	1442
101	367	1432
102	369	1422
103	371	1414
104	373	1406
105	376	1398
106	378	1389
107	380	1380
108	382	1371
109	384	1362
110	386	1354
111	388	1345
112	390	1337
113	392	1329
114	394	1321
115	396	1313
116	398	1305
117	400	1297
118	403	1291
119	405	1285
120	408	1279
121	410	1272
122	412	1264
123	414	1256
124	416	1250
125	418	1242
126	420	1235
127	422	1228
128	424	1221
129	426	1214
130	428	1207
131	431	1201
132	433	1195
133	435	1188
134	437	1182
135	439	1175
136	441	1169
137	443	1163
138	445	1157
139	447	1151
140	449	1145
141	451	1139
142	453	1133
143	455	1127
144	458	1121
145	460	1115
146	462	1109
147	464	1104
148	466	1099
149	468	1093
150	470	1087
151	472	1082
152	474	1076
153	477	1072
154	479	1067
155	481	1062
156	483	1057
157	485	1051
158	487	1046
159	489	1040
160	492	1036
161	494	1031
162	496	1027
163	498	1022
164	500	1017
165	503	1012
166	505	1007
167	507	1002
168	509	997
169	511	992
170	513	987
171	515	982
172	517	977
173	519	972
174	521	968
175	523	963
176	525	959
177	527	954
178	529	949
179	531	945
180	533	940
181	535	936
182	538	932
183	540	928
184	543	925
185	546	921
186	548	918
187	551	914
188	553	910
189	555	906
190	557	901
191	559	897
192	561	893
193	563	889
194	565	885
195	568	881
196	570	876
197	572	872
198	573	867
199	575	863
200	577	859
201	579	855
202	581	851
203	583	847
204	585	843
205	588	839
206	590	835
207	592	831
208	594	828
209	596	824
210	599	820
211	601	816
212	603	813
213	605	809
214	607	805
215	609	801
216	611	797
217	613	794
218	615	790
219	618	786
220	620	782
221	622	779
222	624	775
223	626	772
224	628	768
225	630	764
226	632	760
227	634	757
228	636	753
229	638	750
230	640	746
231	642	742
232	645	739
233	647	735
234	649	731
235	651	728
236	653	725
237	655	721
238	657	718
239	659	714
240	661	711
241	664	708
242	666	704
243	668	701
244	670	697
245	672	694
246	674	690
247	676	687
248	678	684
249	680	680
250	682	677
251	684	674
252	686	670
253	688	667
254	690	663
255	692	660
256	694	657
257	697	653
258	699	650
259	700	647
260	703	643
261	705	640
262	707	637
263	709	634
264	711	630
265	713	627
266	715	624
267	717	621
268	719	617
269	721	614
270	723	611
271	725	608
272	727	605
273	729	602
274	731	598
275	733	595
276	735	592
277	737	589
278	740	586
279	742	583
280	744	580
281	746	577
282	748	573
283	750	570
284	753	568
285	755	565
286	757	562
287	760	559
288	762	556
289	764	553
290	766	550
291	768	547
292	770	544
293	772	541
294	774	538
295	776	534
296	778	531
297	780	528
298	782	525
299	785	523
300	787	520
301	789	517
302	791	514
303	793	511
304	795	508
305	797	505
306	799	502
307	801	499
308	803	496
309	805	493
310	807	490
311	809	487
312	811	484
313	813	481
314	815	479
315	817	476
316	819	473
317	821	470
318	823	467
319	825	464
320	828	461
321	830	458
322	832	455
323	834	453
324	836	450
325	838	447
326	840	444
327	842	441
328	844	439
329	847	436
330	849	433
331	851	430
332	853	428
333	855	425
334	857	422
335	860	419
336	862	417
337	865	414
338	867	411
339	869	409
340	871	406
341	873	403
342	875	400
343	877	398
344	879	395
345	881	392
346	883	389
347	885	386
348	888	384
349	890	381
350	892	378
351	894	376
352	896	373
353	898	370
354	900	367
355	902	365
356	904	362
357	906	359
358	908	357
359	910	354
360	912	351
361	915	348
362	917	346
363	919	343
364	921	340
365	923	338
366	925	335
367	927	332
368	929	330
369	931	327
370	933	324
371	935	321
372	937	319
373	939	316
374	942	314
375	944	311
376	946	308
377	948	306
378	950	303
379	952	300
380	954	298
381	957	295
382	959	293
383	962	290
384	964	288
385	967	285
386	970	283
387	972	280
388	974	278
389	977	275
390	979	273
391	981	270
392	984	267
393	986	265
394	988	262
395	990	260
396	993	257
397	995	255
398	997	252
399	1000	250
400	1002	247
401	1004	244
402	1006	242
403	1009	239
404	1011	237
405	1013	234
406	1015	232
407	1018	229
408	1020	227
409	1022	224
410	1024	221
411	1027	219
412	1029	216
413	1032	214
414	1034	211
415	1036	209
416	1039	206
417	1041	204
